date;view_count;dominant_genre;is_menstruation;weekday;season
2019-10-12;2;Comedy;True;Saturday;Fall
2019-10-23;2;Comedy;False;Wednesday;Fall
2019-10-27;2;Comedy;False;Sunday;Fall
2019-11-02;2;Psychological;True;Saturday;Fall
2019-11-07;1;Comedy;True;Thursday;Fall
2019-11-17;1;Drama;False;Sunday;Fall
2019-11-18;2;Drama;False;Monday;Fall
2019-11-19;4;Drama;False;Tuesday;Fall
2019-11-20;1;Drama;False;Wednesday;Fall
2019-11-21;2;Comedy;False;Thursday;Fall
2019-11-22;3;Comedy;False;Friday;Fall
2019-11-23;3;Comedy;False;Saturday;Fall
2019-11-25;2;Comedy;False;Monday;Fall
2019-12-16;2;Drama;False;Monday;Winter
2019-12-23;1;Drama;False;Monday;Winter
2019-12-26;3;Drama;False;Thursday;Winter
2019-12-28;5;Crime;False;Saturday;Winter
2019-12-29;1;Crime;True;Sunday;Winter
2019-12-30;1;Crime;True;Monday;Winter
2020-01-03;2;Crime;True;Friday;Winter
2020-01-04;2;Crime;False;Saturday;Winter
2020-01-11;2;Drama;False;Saturday;Winter
2020-01-13;1;Drama;False;Monday;Winter
2020-01-16;1;Psychological;False;Thursday;Winter
2020-01-17;2;Comedy;False;Friday;Winter
2020-01-19;4;Drama;False;Sunday;Winter
2020-01-20;3;Drama;False;Monday;Winter
2020-01-22;2;Comedy;False;Wednesday;Winter
2020-01-28;5;Comedy;False;Tuesday;Winter
2020-01-30;2;Drama;False;Thursday;Winter
2020-01-31;1;Drama;True;Friday;Winter
2020-02-14;1;Animation;False;Friday;Winter
2020-02-15;2;Animation;False;Saturday;Winter
2020-03-07;3;Drama;False;Saturday;Spring
2020-03-10;1;Comedy;False;Tuesday;Spring
2020-03-15;3;Drama;False;Sunday;Spring
2020-03-17;2;Drama;False;Tuesday;Spring
2020-03-18;1;Comedy;False;Wednesday;Spring
2020-03-19;1;Drama;False;Thursday;Spring
2020-03-20;3;Drama;False;Friday;Spring
2020-03-21;1;Drama;False;Saturday;Spring
2020-03-23;3;Crime;True;Monday;Spring
2020-03-24;2;Crime;True;Tuesday;Spring
2020-03-25;3;Comedy;True;Wednesday;Spring
2020-03-27;2;Comedy;True;Friday;Spring
2020-03-28;4;Comedy;True;Saturday;Spring
2020-03-29;4;Comedy;False;Sunday;Spring
2020-03-30;4;Comedy;False;Monday;Spring
2020-04-01;4;Comedy;False;Wednesday;Spring
2020-04-04;8;Comedy;False;Saturday;Spring
2020-04-09;2;Crime;False;Thursday;Spring
2020-04-11;1;Comedy;False;Saturday;Spring
2020-04-13;4;Comedy;False;Monday;Spring
2020-04-14;4;Documentary;False;Tuesday;Spring
2020-04-16;4;Drama;False;Thursday;Spring
2020-04-17;1;Drama;False;Friday;Spring
2020-04-22;2;Comedy;True;Wednesday;Spring
2020-04-25;1;Drama;False;Saturday;Spring
2020-04-26;4;Drama;False;Sunday;Spring
2020-04-29;2;Drama;False;Wednesday;Spring
2020-05-01;1;Drama;False;Friday;Spring
2020-05-03;1;Drama;False;Sunday;Spring
2020-05-04;2;Drama;False;Monday;Spring
2020-05-06;2;Drama;False;Wednesday;Spring
2020-05-07;6;Drama;False;Thursday;Spring
2020-05-08;3;Drama;False;Friday;Spring
2020-05-09;1;Drama;False;Saturday;Spring
2020-05-10;2;Drama;False;Sunday;Spring
2020-05-11;2;Drama;False;Monday;Spring
2020-05-12;2;Drama;False;Tuesday;Spring
